GMMIP,AWI,MPI-ESM1-2-LR,amip-hist,T1
GMMIP,AWI,MPI-ESM1-2-LR,amip-hld,T3
GMMIP,AWI,MPI-ESM1-2-LR,amip-TIP-nosh,T3
GMMIP,AWI,MPI-ESM1-2-LR,amip-TIP,T3
GMMIP,AWI,MPI-ESM1-2-LR,hist-resAMO,T2
GMMIP,AWI,MPI-ESM1-2-LR,hist-resIPO,T2
GMMIP,BCC,BCC-CSM2-MR,amip-hist,T1
GMMIP,BCC,BCC-CSM2-MR,amip-hld,T3
GMMIP,BCC,BCC-CSM2-MR,amip-TIP-nosh,T3
GMMIP,BCC,BCC-CSM2-MR,amip-TIP,T3
GMMIP,BCC,BCC-CSM2-MR,hist-resAMO,T2
GMMIP,BCC,BCC-CSM2-MR,hist-resIPO,T2
GMMIP,BNU,BNU-ESM-1-1,amip-hist,T1
GMMIP,BNU,BNU-ESM-1-1,amip-hld,T3
GMMIP,BNU,BNU-ESM-1-1,amip-TIP-nosh,T3
GMMIP,BNU,BNU-ESM-1-1,amip-TIP,T3
GMMIP,BNU,BNU-ESM-1-1,hist-resAMO,T2
GMMIP,BNU,BNU-ESM-1-1,hist-resIPO,T2
GMMIP,CAS,CAS-ESM1-0,amip-hist,T1
GMMIP,CAS,CAS-ESM1-0,amip-hld,T3
GMMIP,CAS,CAS-ESM1-0,amip-TIP-nosh,T3
GMMIP,CAS,CAS-ESM1-0,amip-TIP,T3
GMMIP,CAS,CAS-ESM1-0,hist-resAMO,T2
GMMIP,CAS,CAS-ESM1-0,hist-resIPO,T2
GMMIP,CAS,FGOALS-f3-L,amip-hist,T1
GMMIP,CAS,FGOALS-f3-L,amip-hld,T3
GMMIP,CAS,FGOALS-f3-L,amip-TIP-nosh,T3
GMMIP,CAS,FGOALS-f3-L,amip-TIP,T3
GMMIP,CAS,FGOALS-f3-L,hist-resAMO,T2
GMMIP,CAS,FGOALS-f3-L,hist-resIPO,T2
GMMIP,CAS,FGOALS-g3,amip-hist,T1
GMMIP,CAS,FGOALS-g3,amip-hld,T3
GMMIP,CAS,FGOALS-g3,amip-TIP-nosh,T3
GMMIP,CAS,FGOALS-g3,amip-TIP,T3
GMMIP,CAS,FGOALS-g3,hist-resAMO,T2
GMMIP,CAS,FGOALS-g3,hist-resIPO,T2
GMMIP,CCCma,CanESM5,amip-hist,T1
GMMIP,CCCma,CanESM5,amip-hld,T3
GMMIP,CCCma,CanESM5,amip-TIP-nosh,T3
GMMIP,CCCma,CanESM5,amip-TIP,T3
GMMIP,CCCma,CanESM5,hist-resAMO,T2
GMMIP,CCCma,CanESM5,hist-resIPO,T2
GMMIP,CCCR-IITM,IITM-ESM,amip-hist,T1
GMMIP,CCCR-IITM,IITM-ESM,amip-hld,T3
GMMIP,CCCR-IITM,IITM-ESM,amip-TIP-nosh,T3
GMMIP,CCCR-IITM,IITM-ESM,amip-TIP,T3
GMMIP,CCCR-IITM,IITM-ESM,hist-resAMO,T2
GMMIP,CCCR-IITM,IITM-ESM,hist-resIPO,T2
GMMIP,CMCC,CMCC-CM2-SR5,amip-hist,T1
GMMIP,CMCC,CMCC-CM2-SR5,amip-hld,T3
GMMIP,CMCC,CMCC-CM2-SR5,amip-TIP-nosh,T3
GMMIP,CMCC,CMCC-CM2-SR5,amip-TIP,T3
GMMIP,CMCC,CMCC-CM2-SR5,hist-resAMO,T2
GMMIP,CMCC,CMCC-CM2-SR5,hist-resIPO,T2
GMMIP,CNRM-CERFACS,CNRM-CM6-1,amip-hist,T1
GMMIP,CNRM-CERFACS,CNRM-CM6-1,amip-hld,T3
GMMIP,CNRM-CERFACS,CNRM-CM6-1,amip-TIP-nosh,T3
GMMIP,CNRM-CERFACS,CNRM-CM6-1,amip-TIP,T3
GMMIP,CNRM-CERFACS,CNRM-CM6-1,hist-resAMO,T2
GMMIP,CNRM-CERFACS,CNRM-CM6-1,hist-resIPO,T2
GMMIP,IPSL,IPSL-CM6A-LR,amip-hist,T1
GMMIP,IPSL,IPSL-CM6A-LR,amip-hld,T3
GMMIP,IPSL,IPSL-CM6A-LR,amip-TIP-nosh,T3
GMMIP,IPSL,IPSL-CM6A-LR,amip-TIP,T3
GMMIP,IPSL,IPSL-CM6A-LR,hist-resAMO,T2
GMMIP,IPSL,IPSL-CM6A-LR,hist-resIPO,T2
GMMIP,MIROC,MIROC6,amip-hist,T1
GMMIP,MIROC,MIROC6,amip-hld,T3
GMMIP,MIROC,MIROC6,amip-TIP-nosh,T3
GMMIP,MIROC,MIROC6,amip-TIP,T3
GMMIP,MIROC,MIROC6,hist-resAMO,T2
GMMIP,MIROC,MIROC6,hist-resIPO,T2
GMMIP,MOHC,HadGEM3-GC31-MM,amip-hist,T1
GMMIP,MOHC,HadGEM3-GC31-MM,amip-hld,T3
GMMIP,MOHC,HadGEM3-GC31-MM,amip-TIP-nosh,T3
GMMIP,MOHC,HadGEM3-GC31-MM,amip-TIP,T3
GMMIP,MOHC,HadGEM3-GC31-MM,hist-resAMO,T2
GMMIP,MOHC,HadGEM3-GC31-MM,hist-resIPO,T2
GMMIP,MPI-M,MPI-ESM1-2-LR,amip-hist,T1,esgf3.dkrz.de
GMMIP,MPI-M,MPI-ESM1-2-LR,amip-hld,T3,esgf3.dkrz.de
GMMIP,MPI-M,MPI-ESM1-2-LR,amip-TIP-nosh,T3,esgf3.dkrz.de
GMMIP,MPI-M,MPI-ESM1-2-LR,amip-TIP,T3,esgf3.dkrz.de
GMMIP,MPI-M,MPI-ESM1-2-LR,hist-resAMO,T2,esgf3.dkrz.de
